      ksamplingd-14780   [019] .....  1905.342176: ksamplingd: nr_sampled: 12000000, nr_dram: 499951, nr_nvm: 38, nr_write: 11, nr_throttled: 0 
      ksamplingd-14780   [019] .....  1908.595151: ksamplingd: nr_sampled: 12500000, nr_dram: 499786, nr_nvm: 108, nr_write: 106, nr_throttled: 0 
      ksamplingd-14780   [019] .....  1911.895294: ksamplingd: nr_sampled: 13000000, nr_dram: 499917, nr_nvm: 71, nr_write: 12, nr_throttled: 0 
      ksamplingd-14780   [019] .....  1915.751501: ksamplingd: nr_sampled: 13500000, nr_dram: 499867, nr_nvm: 64, nr_write: 69, nr_throttled: 0 
      ksamplingd-14780   [021] .....  1919.609473: ksamplingd: nr_sampled: 14000000, nr_dram: 499949, nr_nvm: 45, nr_write: 6, nr_throttled: 0 
      ksamplingd-14780   [019] .....  1923.468406: ksamplingd: nr_sampled: 14500000, nr_dram: 499968, nr_nvm: 30, nr_write: 2, nr_throttled: 0 
      ksamplingd-14780   [019] .....  1927.439288: ksamplingd: nr_sampled: 15000000, nr_dram: 499954, nr_nvm: 45, nr_write: 1, nr_throttled: 0 
      ksamplingd-14780   [019] .....  1931.897484: ksamplingd: nr_sampled: 15500000, nr_dram: 499960, nr_nvm: 39, nr_write: 1, nr_throttled: 0 
      ksamplingd-14780   [021] .....  1936.355494: ksamplingd: nr_sampled: 16000000, nr_dram: 499958, nr_nvm: 40, nr_write: 2, nr_throttled: 0 
      ksamplingd-14780   [021] .....  1940.808463: ksamplingd: nr_sampled: 16500000, nr_dram: 499956, nr_nvm: 42, nr_write: 2, nr_throttled: 0 
      ksamplingd-14780   [019] .....  1945.748053: ksamplingd: nr_sampled: 17000000, nr_dram: 499841, nr_nvm: 85, nr_write: 74, nr_throttled: 0 
      ksamplingd-14780   [021] .....  1950.781094: ksamplingd: nr_sampled: 17500000, nr_dram: 499956, nr_nvm: 42, nr_write: 2, nr_throttled: 0 
      ksamplingd-14780   [021] .....  1955.814247: ksamplingd: nr_sampled: 18000000, nr_dram: 499950, nr_nvm: 44, nr_write: 6, nr_throttled: 0 
      ksamplingd-14780   [021] .....  1961.409609: ksamplingd: nr_sampled: 18500000, nr_dram: 499959, nr_nvm: 39, nr_write: 2, nr_throttled: 0 
      ksamplingd-14780   [021] .....  1967.115997: ksamplingd: nr_sampled: 19000000, nr_dram: 499920, nr_nvm: 72, nr_write: 8, nr_throttled: 0 
      ksamplingd-17110   [085] .....  2005.667717: ksamplingd: nr_sampled: 500000, nr_dram: 410502, nr_nvm: 88987, nr_write: 511, nr_throttled: 0 
      ksamplingd-17110   [085] .....  2009.320325: ksamplingd: nr_sampled: 1000000, nr_dram: 499774, nr_nvm: 122, nr_write: 104, nr_throttled: 0 
      ksamplingd-17110   [023] .....  2012.976591: ksamplingd: nr_sampled: 1500000, nr_dram: 499877, nr_nvm: 89, nr_write: 34, nr_throttled: 0 
      ksamplingd-17110   [085] .....  2017.290853: ksamplingd: nr_sampled: 2000000, nr_dram: 245682, nr_nvm: 254283, nr_write: 35, nr_throttled: 0 
      ksamplingd-17110   [085] .....  2022.531876: ksamplingd: nr_sampled: 2500000, nr_dram: 11, nr_nvm: 499962, nr_write: 27, nr_throttled: 0 
      ksamplingd-17110   [085] .....  2027.778982: ksamplingd: nr_sampled: 3000000, nr_dram: 12, nr_nvm: 499972, nr_write: 16, nr_throttled: 0 
      ksamplingd-17110   [023] .....  2034.151339: ksamplingd: nr_sampled: 3500000, nr_dram: 4399, nr_nvm: 495597, nr_write: 4, nr_throttled: 0 
      ksamplingd-17110   [023] .....  2041.230798: ksamplingd: nr_sampled: 4000000, nr_dram: 10, nr_nvm: 499984, nr_write: 6, nr_throttled: 0 
      ksamplingd-17110   [085] .....  2048.387707: ksamplingd: nr_sampled: 4500000, nr_dram: 213709, nr_nvm: 286275, nr_write: 16, nr_throttled: 0 
      ksamplingd-17110   [017] .....  2057.150490: ksamplingd: nr_sampled: 5000000, nr_dram: 499950, nr_nvm: 35, nr_write: 15, nr_throttled: 0 
      ksamplingd-17110   [017] .....  2064.162313: ksamplingd: nr_sampled: 5500000, nr_dram: 354149, nr_nvm: 145846, nr_write: 5, nr_throttled: 0 
      ksamplingd-17110   [017] .....  2074.622567: ksamplingd: nr_sampled: 6000000, nr_dram: 499967, nr_nvm: 26, nr_write: 7, nr_throttled: 0 
      ksamplingd-17110   [085] .....  2086.582410: ksamplingd: nr_sampled: 6500000, nr_dram: 8893, nr_nvm: 491097, nr_write: 10, nr_throttled: 0 
      ksamplingd-17110   [017] .....  2099.591747: ksamplingd: nr_sampled: 7000000, nr_dram: 359814, nr_nvm: 140176, nr_write: 10, nr_throttled: 0 
      ksamplingd-17110   [019] .....  2112.451613: ksamplingd: nr_sampled: 7500000, nr_dram: 251211, nr_nvm: 248775, nr_write: 14, nr_throttled: 0 
      ksamplingd-17110   [019] .....  2128.252531: ksamplingd: nr_sampled: 8000000, nr_dram: 249751, nr_nvm: 250213, nr_write: 36, nr_throttled: 0 
